yourlist:M20190428216DA2B77BFBD2E6699CA9B6D1C41EB20A1B1A1	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q96SB3	Q96SB3	NEB2_HUMAN	reviewed	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	PPP1R9B PPP1R6	Homo sapiens (Human)	815
Q96SN8	Q96SN8	CK5P2_HUMAN	reviewed	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	CDK5RAP2 CEP215 KIAA1633	Homo sapiens (Human)	1893
Q96SQ5	Q96SQ5	ZN587_HUMAN	reviewed	Zinc finger protein 587	ZNF587	Homo sapiens (Human)	575
Q96T23	Q96T23	RSF1_HUMAN	reviewed	Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex)	RSF1 HBXAP XAP8	Homo sapiens (Human)	1441
Q96T68	Q96T68	SETB2_HUMAN	reviewed	Histone-lysine N-methyltransferase SETDB2 (EC 2.1.1.43) (Chronic lymphocytic leukemia deletion region gene 8 protein) (Lysine N-methyltransferase 1F) (SET domain bifurcated 2)	SETDB2 C13orf4 CLLD8 KMT1F	Homo sapiens (Human)	719
Q96TA1	Q96TA1	NIBL1_HUMAN	reviewed	Niban-like protein 1 (Meg-3) (Melanoma invasion by ERK) (MINERVA) (Protein FAM129B)	FAM129B C9orf88	Homo sapiens (Human)	746
Q99424	Q99424	ACOX2_HUMAN	reviewed	Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.17.99.3) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase) (Trihydroxycoprostanoyl-CoA oxidase) (THCA-CoA oxidase) (THCCox)	ACOX2	Homo sapiens (Human)	681
Q99439	Q99439	CNN2_HUMAN	reviewed	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)	CNN2	Homo sapiens (Human)	309
Q99459	Q99459	CDC5L_HUMAN	reviewed	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802
Q99519	Q99519	NEUR1_HUMAN	reviewed	Sialidase-1 (EC 3.2.1.18) (Acetylneuraminyl hydrolase) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	NEU1 NANH	Homo sapiens (Human)	415
Q99567	Q99567	NUP88_HUMAN	reviewed	Nuclear pore complex protein Nup88 (88 kDa nucleoporin) (Nucleoporin Nup88)	NUP88	Homo sapiens (Human)	741
Q99569	Q99569	PKP4_HUMAN	reviewed	Plakophilin-4 (p0071)	PKP4	Homo sapiens (Human)	1192
Q99623	Q99623	PHB2_HUMAN	reviewed	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA	Homo sapiens (Human)	299
Q99715	Q99715	COCA1_HUMAN	reviewed	Collagen alpha-1(XII) chain	COL12A1 COL12A1L	Homo sapiens (Human)	3063
Q99729	Q99729	ROAA_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	HNRNPAB ABBP1 HNRPAB	Homo sapiens (Human)	332
Q99798	Q99798	ACON_HUMAN	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	780
Q99816	Q99816	TS101_HUMAN	reviewed	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	TSG101	Homo sapiens (Human)	390
Q99829	Q99829	CPNE1_HUMAN	reviewed	Copine-1 (Chromobindin 17) (Copine I)	CPNE1 CPN1	Homo sapiens (Human)	537
Q99832	Q99832	TCPH_HUMAN	reviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]	CCT7 CCTH NIP7-1	Homo sapiens (Human)	543
Q99848	Q99848	EBP2_HUMAN	reviewed	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	EBNA1BP2 EBP2	Homo sapiens (Human)	306
Q99873	Q99873	ANM1_HUMAN	reviewed	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	PRMT1 HMT2 HRMT1L2 IR1B4	Homo sapiens (Human)	371
Q99959	Q99959	PKP2_HUMAN	reviewed	Plakophilin-2	PKP2	Homo sapiens (Human)	881
Q99996	Q99996	AKAP9_HUMAN	reviewed	A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)	AKAP9 AKAP350 AKAP450 KIAA0803	Homo sapiens (Human)	3907
Q9BQ50	Q9BQ50	TREX2_HUMAN	reviewed	Three prime repair exonuclease 2 (EC 3.1.11.2) (3'-5' exonuclease TREX2)	TREX2	Homo sapiens (Human)	279
Q9BQ67	Q9BQ67	GRWD1_HUMAN	reviewed	Glutamate-rich WD repeat-containing protein 1	GRWD1 GRWD KIAA1942 WDR28	Homo sapiens (Human)	446
Q9BQE3	Q9BQE3	TBA1C_HUMAN	reviewed	Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	TUBA1C TUBA6	Homo sapiens (Human)	449
Q9BQI6	Q9BQI6	SLF1_HUMAN	reviewed	SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)	SLF1 ANKRD32 BRCTD1	Homo sapiens (Human)	1058
Q9BQL6	Q9BQL6	FERM1_HUMAN	reviewed	Fermitin family homolog 1 (Kindlerin) (Kindlin syndrome protein) (Kindlin-1) (Unc-112-related protein 1)	FERMT1 C20orf42 KIND1 URP1	Homo sapiens (Human)	677
Q9BQS8	Q9BQS8	FYCO1_HUMAN	reviewed	FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7)	FYCO1 ZFYVE7	Homo sapiens (Human)	1478
Q9BR76	Q9BR76	COR1B_HUMAN	reviewed	Coronin-1B (Coronin-2)	CORO1B	Homo sapiens (Human)	489
Q9BRD0	Q9BRD0	BUD13_HUMAN	reviewed	BUD13 homolog	BUD13	Homo sapiens (Human)	619
Q9BRL6	Q9BRL6	SRSF8_HUMAN	reviewed	Serine/arginine-rich splicing factor 8 (Pre-mRNA-splicing factor SRP46) (Splicing factor SRp46) (Splicing factor, arginine/serine-rich 2B)	SRSF8 SFRS2B SRP46	Homo sapiens (Human)	282
Q9BRR8	Q9BRR8	GPTC1_HUMAN	reviewed	G patch domain-containing protein 1 (Evolutionarily conserved G-patch domain-containing protein)	GPATCH1 ECGP GPATC1	Homo sapiens (Human)	931
Q9BRX9	Q9BRX9	WDR83_HUMAN	reviewed	WD repeat domain-containing protein 83 (Mitogen-activated protein kinase organizer 1) (MAPK organizer 1)	WDR83 MORG1	Homo sapiens (Human)	315
Q9BS16	Q9BS16	CENPK_HUMAN	reviewed	Centromere protein K (CENP-K) (Interphase centromere complex protein 37) (Protein AF-5alpha) (p33)	CENPK ICEN37 FKSG14	Homo sapiens (Human)	269
Q9BS26	Q9BS26	ERP44_HUMAN	reviewed	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075	Homo sapiens (Human)	406
Q9BSC4	Q9BSC4	NOL10_HUMAN	reviewed	Nucleolar protein 10	NOL10	Homo sapiens (Human)	688
Q9BSE5	Q9BSE5	SPEB_HUMAN	reviewed	Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	AGMAT	Homo sapiens (Human)	352
Q9BSJ8	Q9BSJ8	ESYT1_HUMAN	reviewed	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	ESYT1 FAM62A KIAA0747 MBC2	Homo sapiens (Human)	1104
Q9BT40	Q9BT40	INP5K_HUMAN	reviewed	Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Skeletal muscle and kidney-enriched inositol phosphatase)	INPP5K PPS SKIP	Homo sapiens (Human)	448
Q9BTV4	Q9BTV4	TMM43_HUMAN	reviewed	Transmembrane protein 43 (Protein LUMA)	TMEM43 UNQ2564/PRO6244	Homo sapiens (Human)	400
Q9BU76	Q9BU76	MMTA2_HUMAN	reviewed	Multiple myeloma tumor-associated protein 2 (hMMTAG2)	MMTAG2 C1orf35	Homo sapiens (Human)	263
Q9BUF5	Q9BUF5	TBB6_HUMAN	reviewed	Tubulin beta-6 chain (Tubulin beta class V)	TUBB6	Homo sapiens (Human)	446
Q9BUJ2	Q9BUJ2	HNRL1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)	HNRNPUL1 E1BAP5 HNRPUL1	Homo sapiens (Human)	856
Q9BUQ8	Q9BUQ8	DDX23_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	DDX23	Homo sapiens (Human)	820
Q9BV38	Q9BV38	WDR18_HUMAN	reviewed	WD repeat-containing protein 18	WDR18	Homo sapiens (Human)	432
Q9BV73	Q9BV73	CP250_HUMAN	reviewed	Centrosome-associated protein CEP250 (250 kDa centrosomal protein) (Cep250) (Centrosomal Nek2-associated protein 1) (C-Nap1) (Centrosomal protein 2)	CEP250 CEP2 CNAP1	Homo sapiens (Human)	2442
Q9BVG8	Q9BVG8	KIFC3_HUMAN	reviewed	Kinesin-like protein KIFC3	KIFC3	Homo sapiens (Human)	833
Q9BVJ6	Q9BVJ6	UT14A_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	UTP14A SDCCAG16	Homo sapiens (Human)	771
Q9BVP2	Q9BVP2	GNL3_HUMAN	reviewed	Guanine nucleotide-binding protein-like 3 (E2-induced gene 3 protein) (Novel nucleolar protein 47) (NNP47) (Nucleolar GTP-binding protein 3) (Nucleostemin)	GNL3 E2IG3 NS	Homo sapiens (Human)	549
Q9BW27	Q9BW27	NUP85_HUMAN	reviewed	Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)	NUP85 NUP75 PCNT1	Homo sapiens (Human)	656
Q9BWE0	Q9BWE0	REPI1_HUMAN	reviewed	Replication initiator 1 (60 kDa origin-specific DNA-binding protein) (60 kDa replication initiation region protein) (ATT-binding protein) (DHFR oribeta-binding protein RIP60) (Zinc finger protein 464)	REPIN1 RIP60 ZNF464	Homo sapiens (Human)	567
Q9BX66	Q9BX66	SRBS1_HUMAN	reviewed	Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)	SORBS1 KIAA0894 KIAA1296 SH3D5	Homo sapiens (Human)	1292
Q9BX84	Q9BX84	TRPM6_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6)	TRPM6 CHAK2	Homo sapiens (Human)	2022
Q9BXN1	Q9BXN1	ASPN_HUMAN	reviewed	Asporin (Periodontal ligament-associated protein 1) (PLAP-1)	ASPN PLAP1 SLRR1C UNQ215/PRO241	Homo sapiens (Human)	380
Q9BXU1	Q9BXU1	STK31_HUMAN	reviewed	Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)	STK31 SGK396	Homo sapiens (Human)	1019
Q9BXX0	Q9BXX0	EMIL2_HUMAN	reviewed	EMILIN-2 (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2) (Protein FOAP-10)	EMILIN2	Homo sapiens (Human)	1053
Q9BXY0	Q9BXY0	MAK16_HUMAN	reviewed	Protein MAK16 homolog (NNP78) (Protein RBM13)	MAK16 RBM13	Homo sapiens (Human)	300
Q9BYC9	Q9BYC9	RM20_HUMAN	reviewed	39S ribosomal protein L20, mitochondrial (L20mt) (MRP-L20) (Mitochondrial large ribosomal subunit protein bL20m)	MRPL20	Homo sapiens (Human)	149
Q9BYD1	Q9BYD1	RM13_HUMAN	reviewed	39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13) (Mitochondrial large ribosomal subunit protein uL13m)	MRPL13	Homo sapiens (Human)	178
Q9BYD3	Q9BYD3	RM04_HUMAN	reviewed	39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4) (Mitochondrial large ribosomal subunit protein uL4m)	MRPL4 CDABP0091 CGI-28	Homo sapiens (Human)	311
Q9BYE4	Q9BYE4	SPR2G_HUMAN	reviewed	Small proline-rich protein 2G (SPR-2G)	SPRR2G	Homo sapiens (Human)	73
Q9BYG3	Q9BYG3	MK67I_HUMAN	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	NIFK MKI67IP NOPP34	Homo sapiens (Human)	293
Q9BZE4	Q9BZE4	NOG1_HUMAN	reviewed	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)	GTPBP4 CRFG NOG1	Homo sapiens (Human)	634
Q9BZF1	Q9BZF1	OSBL8_HUMAN	reviewed	Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8)	OSBPL8 KIAA1451 ORP8 OSBP10	Homo sapiens (Human)	889
Q9BZF9	Q9BZF9	UACA_HUMAN	reviewed	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA KIAA1561	Homo sapiens (Human)	1416
Q9BZJ0	Q9BZJ0	CRNL1_HUMAN	reviewed	Crooked neck-like protein 1 (Crooked neck homolog) (hCrn)	CRNKL1 CRN CGI-201 MSTP021	Homo sapiens (Human)	848
Q9BZK7	Q9BZK7	TBL1R_HUMAN	reviewed	F-box-like/WD repeat-containing protein TBL1XR1 (Nuclear receptor corepressor/HDAC3 complex subunit TBLR1) (TBL1-related protein 1) (Transducin beta-like 1X-related protein 1)	TBL1XR1 IRA1 TBLR1	Homo sapiens (Human)	514
Q9C0A1	Q9C0A1	ZFHX2_HUMAN	reviewed	Zinc finger homeobox protein 2 (Zinc finger homeodomain protein 2) (ZFH-2)	ZFHX2 KIAA1056 KIAA1762 ZNF409	Homo sapiens (Human)	2572
Q9C0C2	Q9C0C2	TB182_HUMAN	reviewed	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)	1729
Q9C0H9	Q9C0H9	SRCN1_HUMAN	reviewed	SRC kinase signaling inhibitor 1 (SNAP-25-interacting protein) (SNIP) (p130Cas-associated protein) (p140Cap)	SRCIN1 KIAA1684 P140	Homo sapiens (Human)	1183
Q9C0J8	Q9C0J8	WDR33_HUMAN	reviewed	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	WDR33 WDC146	Homo sapiens (Human)	1336
Q9GZL7	Q9GZL7	WDR12_HUMAN	reviewed	Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12)	WDR12	Homo sapiens (Human)	423
Q9GZM7	Q9GZM7	TINAL_HUMAN	reviewed	Tubulointerstitial nephritis antigen-like (Glucocorticoid-inducible protein 5) (Oxidized LDL-responsive gene 2 protein) (OLRG-2) (Tubulointerstitial nephritis antigen-related protein) (TIN Ag-related protein) (TIN-Ag-RP)	TINAGL1 GIS5 LCN7 OLRG2 TINAGL PP6614 PSEC0088 UNQ204/PRO230	Homo sapiens (Human)	467
Q9H000	Q9H000	MKRN2_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase makorin-2 (EC 2.3.2.27) (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2)	MKRN2 RNF62 HSPC070	Homo sapiens (Human)	416
Q9H074	Q9H074	PAIP1_HUMAN	reviewed	Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1)	PAIP1	Homo sapiens (Human)	479
Q9H0A0	Q9H0A0	NAT10_HUMAN	reviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein) (hALP)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025
Q9H0E7	Q9H0E7	UBP44_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 44 (EC 3.4.19.12) (Deubiquitinating enzyme 44) (Ubiquitin thioesterase 44) (Ubiquitin-specific-processing protease 44)	USP44	Homo sapiens (Human)	712
Q9H0J9	Q9H0J9	PAR12_HUMAN	reviewed	Protein mono-ADP-ribosyltransferase PARP12 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Poly [ADP-ribose] polymerase 12) (PARP-12) (Zinc finger CCCH domain-containing protein 1)	PARP12 ZC3HDC1	Homo sapiens (Human)	701
Q9H0P0	Q9H0P0	5NT3A_HUMAN	reviewed	Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	Homo sapiens (Human)	336
Q9H0U4	Q9H0U4	RAB1B_HUMAN	reviewed	Ras-related protein Rab-1B	RAB1B	Homo sapiens (Human)	201
Q9H254	Q9H254	SPTN4_HUMAN	reviewed	Spectrin beta chain, non-erythrocytic 4 (Beta-IV spectrin) (Spectrin, non-erythroid beta chain 3)	SPTBN4 KIAA1642 SPTBN3	Homo sapiens (Human)	2564
Q9H269	Q9H269	VPS16_HUMAN	reviewed	Vacuolar protein sorting-associated protein 16 homolog (hVPS16)	VPS16	Homo sapiens (Human)	839
Q9H2A2	Q9H2A2	AL8A1_HUMAN	reviewed	2-aminomuconic semialdehyde dehydrogenase (EC 1.2.1.32) (Aldehyde dehydrogenase 12) (Aldehyde dehydrogenase family 8 member A1)	ALDH8A1 ALDH12	Homo sapiens (Human)	487
Q9H2C0	Q9H2C0	GAN_HUMAN	reviewed	Gigaxonin (Kelch-like protein 16)	GAN GAN1 KLHL16	Homo sapiens (Human)	597
Q9H2M3	Q9H2M3	BHMT2_HUMAN	reviewed	S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)	BHMT2	Homo sapiens (Human)	363
Q9H2P0	Q9H2P0	ADNP_HUMAN	reviewed	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	ADNP ADNP1 KIAA0784	Homo sapiens (Human)	1102
Q9H307	Q9H307	PININ_HUMAN	reviewed	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	PNN DRS MEMA	Homo sapiens (Human)	717
Q9H329	Q9H329	E41LB_HUMAN	reviewed	Band 4.1-like protein 4B (FERM-containing protein CG1) (Protein EHM2)	EPB41L4B EHM2 LULU2	Homo sapiens (Human)	900
Q9H3Q3	Q9H3Q3	G3ST2_HUMAN	reviewed	Galactose-3-O-sulfotransferase 2 (Gal3ST-2) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 2) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 2) (Glycoprotein beta-Gal 3'-sulfotransferase 2)	GAL3ST2 GP3ST	Homo sapiens (Human)	398
Q9H4A4	Q9H4A4	AMPB_HUMAN	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB	Homo sapiens (Human)	650
Q9H583	Q9H583	HEAT1_HUMAN	reviewed	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	HEATR1 BAP28 UTP10	Homo sapiens (Human)	2144
Q9H5Z1	Q9H5Z1	DHX35_HUMAN	reviewed	Probable ATP-dependent RNA helicase DHX35 (EC 3.6.4.13) (DEAH box protein 35)	DHX35 C20orf15 DDX35	Homo sapiens (Human)	703
Q9H6W3	Q9H6W3	RIOX1_HUMAN	reviewed	Ribosomal oxygenase 1 (60S ribosomal protein L8 histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66) (EC 1.14.11.-) (EC 1.14.11.27) (Histone lysine demethylase NO66) (Myc-associated protein with JmjC domain) (Nucleolar protein 66) (hsNO66) (Ribosomal oxygenase NO66) (ROX)	RIOX1 C14orf169 MAPJD NO66	Homo sapiens (Human)	641
Q9H7R5	Q9H7R5	ZN665_HUMAN	reviewed	Zinc finger protein 665 (Zinc finger protein 160-like)	ZNF665 ZFP160L	Homo sapiens (Human)	678
Q9H7Z3	Q9H7Z3	NRDE2_HUMAN	reviewed	Protein NRDE2 homolog	NRDE2 C14orf102	Homo sapiens (Human)	1164
Q9H8G2	Q9H8G2	CAAP1_HUMAN	reviewed	Caspase activity and apoptosis inhibitor 1 (Conserved anti-apoptotic protein) (CAAP)	CAAP1 C9orf82 CAAP	Homo sapiens (Human)	361
Q9H8H0	Q9H8H0	NOL11_HUMAN	reviewed	Nucleolar protein 11	NOL11 L14	Homo sapiens (Human)	719
Q9H8H3	Q9H8H3	MET7A_HUMAN	reviewed	Methyltransferase-like protein 7A (EC 2.1.1.-) (Protein AAM-B)	METTL7A PRO0066 UNQ1902/PRO4348	Homo sapiens (Human)	244
Q9H8L6	Q9H8L6	MMRN2_HUMAN	reviewed	Multimerin-2 (EMILIN-3) (Elastin microfibril interface located protein 3) (Elastin microfibril interfacer 3) (EndoGlyx-1 p125/p140 subunit)	MMRN2 EMILIN3	Homo sapiens (Human)	949
Q9H8M2	Q9H8M2	BRD9_HUMAN	reviewed	Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8)	BRD9 UNQ3040/PRO9856	Homo sapiens (Human)	597
Q9H9J4	Q9H9J4	UBP42_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 42 (EC 3.4.19.12) (Deubiquitinating enzyme 42) (Ubiquitin thioesterase 42) (Ubiquitin-specific-processing protease 42)	USP42	Homo sapiens (Human)	1324
Q9HA65	Q9HA65	TBC17_HUMAN	reviewed	TBC1 domain family member 17	TBC1D17	Homo sapiens (Human)	648
Q9HB58	Q9HB58	SP110_HUMAN	reviewed	Sp110 nuclear body protein (Interferon-induced protein 41/75) (Speckled 110 kDa) (Transcriptional coactivator Sp110)	SP110	Homo sapiens (Human)	689
Q9HBL0	Q9HBL0	TENS1_HUMAN	reviewed	Tensin-1	TNS1 TNS	Homo sapiens (Human)	1735
Q9HC35	Q9HC35	EMAL4_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	EML4 C2orf2 EMAPL4	Homo sapiens (Human)	981
Q9HC38	Q9HC38	GLOD4_HUMAN	reviewed	Glyoxalase domain-containing protein 4	GLOD4 C17orf25 CGI-150 My027	Homo sapiens (Human)	313
Q9HC84	Q9HC84	MUC5B_HUMAN	reviewed	Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)	MUC5B MUC5	Homo sapiens (Human)	5762
Q9HCC0	Q9HCC0	MCCB_HUMAN	reviewed	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)	MCCC2 MCCB	Homo sapiens (Human)	563
Q9HCE1	Q9HCE1	MOV10_HUMAN	reviewed	Helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	MOV10 KIAA1631	Homo sapiens (Human)	1003
Q9HCE6	Q9HCE6	ARGAL_HUMAN	reviewed	Rho guanine nucleotide exchange factor 10-like protein (GrinchGEF)	ARHGEF10L GRINCHGEF KIAA1626	Homo sapiens (Human)	1279
Q9HCG1	Q9HCG1	ZN160_HUMAN	reviewed	Zinc finger protein 160 (Zinc finger protein HZF5) (Zinc finger protein Kr18) (HKr18)	ZNF160 KIAA1611	Homo sapiens (Human)	818
Q9HCG8	Q9HCG8	CWC22_HUMAN	reviewed	Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb)	CWC22 KIAA1604 NCM	Homo sapiens (Human)	908
Q9HCM4	Q9HCM4	E41L5_HUMAN	reviewed	Band 4.1-like protein 5	EPB41L5 KIAA1548	Homo sapiens (Human)	733
Q9HCS7	Q9HCS7	SYF1_HUMAN	reviewed	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)	XAB2 HCNP KIAA1177 SYF1 PP3898	Homo sapiens (Human)	855
Q9HCY8	Q9HCY8	S10AE_HUMAN	reviewed	Protein S100-A14 (S100 calcium-binding protein A14) (S114)	S100A14 S100A15	Homo sapiens (Human)	104
Q9HD20	Q9HD20	AT131_HUMAN	reviewed	Manganese-transporting ATPase 13A1 (EC 3.6.3.-)	ATP13A1 ATP13A KIAA1825 CGI-152	Homo sapiens (Human)	1204
Q9HD26	Q9HD26	GOPC_HUMAN	reviewed	Golgi-associated PDZ and coiled-coil motif-containing protein (CFTR-associated ligand) (Fused in glioblastoma) (PDZ protein interacting specifically with TC10) (PIST)	GOPC CAL FIG	Homo sapiens (Human)	462
Q9HD45	Q9HD45	TM9S3_HUMAN	reviewed	Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein)	TM9SF3 SMBP UNQ245/PRO282	Homo sapiens (Human)	589
Q9HD89	Q9HD89	RETN_HUMAN	reviewed	Resistin (Adipose tissue-specific secretory factor) (ADSF) (C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein) (Cysteine-rich secreted protein A12-alpha-like 2) (Cysteine-rich secreted protein FIZZ3)	RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199	Homo sapiens (Human)	108
Q9NP61	Q9NP61	ARFG3_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	ARFGAP3 ARFGAP1	Homo sapiens (Human)	516
